;"""N";Date;Time;N [Decimal degrees];E [Decimal degrees];GPS uncertainty [m];h [m];Location provider;D [μSv/h];Standard deviation;Standard error of the mean value;CF;"Number of measured points""."
47778;"""1931";2021-09-23;06:33:01;46.269999999999996;15.120000000000001;9.935;320.864;gps;0.066;0;0;0;"1""."
4833;"""4834";2021-09-06;11:06:26;45.910000000000004;15.38;3.79;213.245;gps;0.066;0;0;0;"1""."
38043;"""571";2021-06-30;12:20:29;46.65;16.35;2400;0;network;0.066;0;0;0;"1""."
10627;"""10628";2021-09-06;14:24:19;45.93;15.59;3200;0;network;0.066;0;0;0;"1""."
54572;"""1623";2022-05-28;18:35:35;46.349999999999994;15.48;9.935;344.66;gps;0.067;0;0;0;"1""."
33315;"""19316";2021-09-08;18:40:59;45.89;15.309999999999999;3.79;205.219;gps;0.067;0;0;0;"1""."
53753;"""804";2022-05-28;18:21:55;46.48;15.68;9.935;307.798;gps;0.067;0;0;0;"1""."
53491;"""542";2022-05-28;18:17:33;46.449999999999996;15.77;3.79;289.955;gps;0.067;0;0;0;"1""."
49209;"""3362";2021-09-23;07:19:51;46.57;15.69;3.79;331.571;gps;0.067;0;0;0;"1""."
47572;"""1725";2021-09-23;06:26:16;46.239999999999995;14.97;3.976;385.631;gps;0.067;0;0;0;"1""."
47190;"""1343";2021-09-23;06:13:45;46.18000000000001;14.8;9.935;463.713;gps;0.067;0;0;0;"1""."
47980;"""2133";2021-09-23;06:39:37;46.260000000000005;15.29;3.79;288.298;gps;0.067;0;0;0;"1""."
3570;"""3571";2021-09-06;10:25:07;46.01;14.57;3.813;374.078;gps;0.067;0;0;0;"1""."
4402;"""4403";2021-09-06;10:52:18;45.87;15.09;9.935;336.839;gps;0.067;0;0;0;"1""."
48774;"""2927";2021-09-23;07:05:38;46.37;15.549999999999999;3.79;328.582;gps;0.067;0;0;0;"1""."
4221;"""4222";2021-09-06;10:46:24;45.910000000000004;14.97;3.79;346.495;gps;0.068;0;0;0;"1""."
13660;"""13661";2021-09-06;16:04:12;45.910000000000004;15.52;3.79;204.773;gps;0.068;0;0;0;"1""."
